LCA_CASE_NUMBER;STATUS;LCA_CASE_SUBMIT;DECISION_DATE;VISA_CLASS;LCA_CASE_EMPLOYMENT_START_DATE;LCA_CASE_EMPLOYMENT_END_DATE;LCA_CASE_EMPLOYER_NAME;LCA_CASE_EMPLOYER_ADDRESS;LCA_CASE_EMPLOYER_CITY;LCA_CASE_EMPLOYER_STATE;LCA_CASE_EMPLOYER_POSTAL_CODE;LCA_CASE_SOC_CODE;LCA_CASE_SOC_NAME;LCA_CASE_JOB_TITLE;LCA_CASE_WAGE_RATE_FROM;LCA_CASE_WAGE_RATE_TO;LCA_CASE_WAGE_RATE_UNIT;FULL_TIME_POS;TOTAL_WORKERS;LCA_CASE_WORKLOC1_CITY;LCA_CASE_WORKLOC1_STATE;PW_1;PW_UNIT_1;PW_SOURCE_1;OTHER_WAGE_SOURCE_1;YR_SOURCE_PUB_1;LCA_CASE_WORKLOC2_CITY;LCA_CASE_WORKLOC2_STATE;PW_2;PW_UNIT_2;PW_SOURCE_2;OTHER_WAGE_SOURCE_2;YR_SOURCE_PUB_2;LCA_CASE_NAICS_CODE
I-200-09153-156149;CERTIFIED;13.09.2011;19.09.2011;H-1B;21.09.2011;21.09.2014;PACRIM MARKETING GROUP, INC.;2758 S. KING STREET, SUITE 206;HONOLULU;HI;96826;27-3041;Editors;EDITOR;37690;40008;Year;Y;1;HONOLULU;HI;37690;Year;Other;FLCDATACENTER.COM;2011;;;;;;;;541800
I-200-09153-662376;CERTIFIED;15.11.2010;19.11.2010;H-1B;06.12.2010;19.11.2012;BATTERIES PLUS, LLC.;925 WALNUT RIDGE DRIVE;HARTLAND;WI;53029;11-3061.00;Purchasing Managers;SOURCING MANAGER;70000;;Year;Y;1;HARTLAND;WI;63024;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;443000
I-200-09154-795298;CERTIFIED;12.05.2011;18.05.2011;H-1B;02.09.2011;02.09.2014;MCAFEE, INC.;2430 ENERGY PARK DRIVE;ST. PAUL;MN;55108;15-1032.00;Computer Software Engineers, Systems Software;SENIOR SOFTWARE QA ENGINEER;75400;125500;Year;Y;1;SANTA CLARA;CA;74500;Year;Other;TOWERS WATSON DATA SERVICES: PROFESSIONAL SPECIALIZED SERVICES PERSONNEL;2011;;;;;;;;5415
I-200-09154-371126;CERTIFIED-WITHDRAWN;21.01.2011;27.01.2011;H-1B;01.02.2011;01.02.2014;JMP ENGINEERING INC;8856 BROADWAY STREET;SAN ANTONIO;TX;78217;17-3023.00;Electrical and Electronic Engineering Technicians;CONTROLS SPECIALIST;43680;;Year;Y;1;SAN ANTONIO;TX;39166;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541330
I-200-09162-614055;CERTIFIED;01.11.2010;05.11.2010;H-1B;01.11.2010;31.10.2013;INFOJINI, INC.;10015 OLD COLUMBIA ROAD;COLUMBIA;MD;21046;15-1099.01;Software Quality Assurance Engineers and Testers;SOFTWARE QUALITY ASSURANCE ENGINEER AND TESTER;65811;;Year;Y;1;MALVERN;PA;65811;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09163-311364;DENIED;06.07.2011;14.07.2011;H-1B;01.09.2011;31.08.2014;SAMARITAN MEDICAL CENTER;830 WASHINGTON ST.;WATERTOWN;NY;13601;29-1066;Psychiatrists;PSYCHIATRIST;220000;;Year;Y;1;WATERTOWN;NY;196061;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;622110
I-200-09176-718928;CERTIFIED;12.11.2010;18.11.2010;H-1B;01.01.2011;01.01.2014;CONTRAN CORPORATION;THREE LINCOLN CENTRE;DALLAS;TX;75240;11-3021.00;Computer and Information Systems Managers;WASTE CONTROL SPECIALISTS IT DIRECTOR;260000;;Year;Y;1;ANDREWS;TX;94182;Year;OES;OFLC ONLINE DATA CENTER;2010;DALLAS;TX;125840;Year;OES;OFLC ONLINE DATA CENTER;2010;562211
I-200-09179-464554;CERTIFIED;25.07.2011;29.07.2011;H-1B;07.09.2011;07.09.2014;E2E ANALYTIX INC.;TWO PARK PLAZA;IRVINE;CA;92614;15-1131;Computer Programmers;SR. PROGRAMMER ANALYST;72000;;Year;Y;1;COLLIERVILLE;TN;60070;Year;OES;'OFLC ONLINE DATA CENTER';2011;IRVINE;CA;56784;Year;OES;'OFLC ONLINE DATA CENTER';2011;541511
I-200-09179-854977;CERTIFIED;27.06.2011;01.07.2011;H-1B;01.10.2011;30.09.2014;PRISERVE CONSULTING INC;11777 KATY FREEWAY;HOUSTON;TX;77079;15-1051.00;Computer Systems Analysts;SYSTEMS ANALYST;55000;;Year;Y;1;HOUSTON;TX;50315;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541512
I-200-09180-713549;CERTIFIED;05.11.2010;12.11.2010;H-1B;03.01.2011;03.01.2014;THE ADVISORY BOARD COMPANY;2445 M STREET, N.W.;WASHINGTON;DC;20037;15-1032.00;Computer Software Engineers, Systems Software;SR. QA ENGINEER;114000;;Year;Y;1;WASHINGTON;DC;108410;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541611
I-200-09182-460567;CERTIFIED-WITHDRAWN;27.01.2011;02.02.2011;H-1B;28.01.2011;27.01.2014;MINDSPEED TECHNOLOGIES, INC.;4000 MACARTHUR BLVD, E. TOWER;NEWPORT BEACH;CA;92660;15-1099.99;Computer Specialists, All Other;WEB PROGRAMMER/ANALYST III;72000;;Year;Y;1;NEWPORT BEACH;CA;46197;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;334413
I-200-09182-102585;CERTIFIED;14.01.2011;24.01.2011;H-1B;07.03.2011;06.03.2014;HANUSOFT INC.;7206 IMPALA DRIVE;RICHMOND;VA;23228;15-1021.00;Computer Programmers;DATA ANALYST/CAMPAIGN ANALYST;51000;65000;Year;Y;1;RICHMOND;VA;50918;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09182-961961;CERTIFIED;02.02.2011;08.02.2011;H-1B;09.02.2011;08.02.2014;HANUSOFT INC.;7206 IMPALA DRIVE;RICHMOND;VA;23228;15-1021.00;Computer Programmers;PROGRAMMER ANALYST/SR. DOT NET DEVELOPER;62000;100000;Year;Y;1;RICHMOND;VA;61235;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09182-759209;CERTIFIED;06.12.2010;10.12.2010;H-1B;06.12.2010;06.12.2013;BECKMAN COULTER, INC.;250 S. KRAEMER BLVD.;BREA;CA;92821;15-1032.00;Computer Software Engineers, Systems Software;SR. SOFTWARE DEVELOPMENT ENGINEER;90000;;Year;Y;1;MIAMI;FL;76398;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;3391
I-200-09182-780700;CERTIFIED;15.10.2010;21.10.2010;H-1B;25.10.2010;24.10.2013;EMULEX DESIGN AND MANUFACTURING CORP;3333 SUSAN STREET;COSTA MESA;CA;92626;17-2071.00;Electrical Engineers;ENGINEER;65374;98654;Year;Y;10;AUSTIN;TX;65374;Year;Other;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09183-476344;CERTIFIED;22.02.2011;28.02.2011;H-1B;01.03.2011;01.03.2014;WEATHERFORD INTERNATIONAL INC.;515 POST OAK BLVD., SUITE 175;HOUSTON;TX;77027;15-1099.99;Computer Specialists, All Other;IT PROJECT MANAGER;63211;87000;Year;Y;1;HOUSTON;TX;63211;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;333132
I-200-09183-277131;CERTIFIED;11.05.2011;17.05.2011;H-1B;19.08.2011;19.08.2014;MCAFEE, INC.;2430 ENERGY PARK DRIVE;ST. PAUL;MN;55108;15-1071.00;Network and Computer Systems Administrators;INFORMATION SYSTEMS ENGINEER 3 (SR. SYSTEMS ADMINI;83100;110100;Year;Y;1;SANTA CLARA;CA;83100;Year;Other;TOWERS WATSON DATA SERVICES: PROFESSIONAL SPECIALIZED SERVICES PERSONNEL;2011;;;;;;;;5415
I-203-09188-322097;CERTIFIED;21.12.2010;28.12.2010;E-3 Australian;01.01.2011;31.12.2012;ARUBA NETWORKS, INC.;1322 CROSSMAN AVENUE;SUNNYVALE;CA;94089;11-9041.00;Engineering Managers;SENIOR ENGINEERING MANAGER;137030;175000;Year;Y;1;SUNNYVALE;CA;137030;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541512
I-203-09188-446029;CERTIFIED;01.10.2010;07.10.2010;E-3 Australian;01.11.2010;01.11.2012;WHITE & CASE LLP;WHITE & CASE LLP;NEW YORK;NY;10036;13-1199.99;Business Operations Specialists, All Other;PRACTICE DEVELOPMENT COORDINATOR, M&A/REAL ESTATE;53900;88800;Year;Y;2;NEW YORK;NY;43077;Year;OES;OFCL ONLINE DATA CENTER;2010;;;;;;;;541110
I-200-09189-529223;WITHDRAWN;22.02.2011;22.02.2011;H-1B;07.07.2009;07.07.2012;BIRLASOFT INC;2035 LINCOLN HIGHWAY;EDISON;NJ;8817;15-1051.00;Computer Systems Analysts;SYSTEMS ANALYST;;;Year;Y;1;;;;Year;OES;N/A;2009;;;;;;;;541511
I-200-09189-011853;CERTIFIED;02.12.2010;08.12.2010;H-1B;24.02.2011;23.02.2014;FEDEX CORPORATE SERVICES, INC.;10 FEDEX PARKWAY;COLLIERVILLE;TN;38017;15-1051.00;Computer Systems Analysts;SENIOR PROGRAMMER ANALYST;75500;100056;Year;Y;1;COLLIERVILLE;TN;75500;Year;Other;MERCER BENCHMARK DATABASE INFORMATION TECHNOLOGY SURVEY REPORT 2010;2010;;;;;;;;481112
I-200-09189-466782;CERTIFIED;17.11.2010;23.11.2010;H-1B;22.11.2010;21.11.2013;BIO-MEDICAL APPLICATIONS OF TEXAS, INC.;920 WINTER STREET;WALTHAM;MA;02451-1457;29-1111.00;Registered Nurses;NEPHROLOGY NURSE SPECIALIST;25,93;;Hour;Y;1;HOUSTON;TX;25,93;Hour;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;621399
I-200-09189-798787;CERTIFIED;30.08.2011;06.09.2011;H-1B;01.10.2011;30.09.2014;PILKINGTON NORTH AMERICA, INC.;811 MADISON AVENUE;TOLEDO;OH;43604;19-2012;Physicists;SCIENTIST (BP R&D ONLINE COATINGS);80016;;Year;Y;2;NORTHWOOD;OH;66394;Year;Other;OFLC ONLINE DATA CENTER;2011;;;;;;;;3272
I-200-09189-380684;CERTIFIED;14.02.2011;18.02.2011;H-1B;14.02.2011;10.02.2014;DISCOVER PRODUCTS INC.;2500 LAKE COOK ROAD;RIVERWOODS;IL;60015;13-2051.00;Financial Analysts;PROJECT MANAGER, PROTECTION PRODUCT MARKETING;66700;81127;Year;Y;1;RIVERWOODS;IL;66700;Year;Other;TOWERS WATSON DATA SERVICES SURVEY REPORT ON ACCOUNTING & FINANCE PERSONNEL COMPENSATION;2010;;;;;;;;522210
I-200-09189-318344;CERTIFIED;22.09.2011;28.09.2011;H-1B;01.11.2011;31.10.2014;PROGRESSIVE STEP CORP.;111 WEST MICHIGAN STREET;MILWAUKEE;WI;53203;29-1127;Speech-Language Pathologists;SPEECH LANGUAGE PATHOLOGIST-ASST FACILITY REHAB CO;87880;;Year;Y;1;TAYLOR;MI;73403;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;623110
I-200-09190-774907;CERTIFIED;18.07.2011;22.07.2011;H-1B;01.10.2011;01.10.2014;TOUCH-UP ENTERPRISES INC;2335 NW 107 AVE BOX 46;MIAMI;FL;33172;Nov 41;Architectural and Engineering Managers;ENGIEERING MANAGER;42,45;;Hour;N;1;MIAMI;FL;42,45;Hour;Other;ONLINE WAGE LIBRARY;2011;;;;;;;;423990
I-200-09190-240140;WITHDRAWN;27.01.2011;28.01.2011;H-1B;24.02.2011;24.02.2014;AUTOMATIC CONTROL ELECTRONICS COMPANY;5355 DIETRICH ROAD;SAN ANTONIO;TX;78220-0264;17-3023.00;Electrical and Electronic Engineering Technicians;SERVICE ENGINEER;48000;55000;Year;Y;1;SAN ANTONIO;TX;47611;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541330
I-200-09190-224966;CERTIFIED-WITHDRAWN;13.12.2010;17.12.2010;H-1B;03.01.2011;02.01.2014;SHAMIN HOTELS, INC;2000 WARE BOTTOM SPRING ROAD;CHESTER;VA;23836;11-9081.00;Lodging Managers;LODGING MANAGER;42848;;Year;Y;1;HOPEWELL;VA;41496;Year;OES;OFLC ONLINE DATACENTER;2010;;;;;;;;72111
I-200-09190-222149;CERTIFIED;09.06.2011;15.06.2011;H-1B;01.07.2011;30.06.2014;AL JAZEERA INTERNATIONAL (USA), INC.;1627 K STREET, NW;WASHINGTON;DC;20006;11-3031.01;Treasurers, Controllers, and Chief Financial Offic;HEAD OF FINANCE;78312;101171;Year;Y;1;WASHINGTON;DC;78312;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;519110
I-200-09190-058185;DENIED;20.05.2011;27.05.2011;H-1B;01.07.2011;30.06.2014;ANEST IWATA AIR ENGINEERING INC;5325 MUHLHAUSER ROAD;WEST CHESTER;OH;45011;17-2112.00;Industrial Engineers;ENGINEER;53900;;Year;Y;1;WEST CHESTER;OH;53394;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;333912
I-200-09190-142421;CERTIFIED;19.05.2011;25.05.2011;H-1B;20.05.2011;19.05.2014;SEMAFOR TECHNOLOGIES, LLC;SIX CONCOURSE PARKWAY, FIFTH FLOOR;ATLANTA;GA;30328;15-1051.00;Computer Systems Analysts;SYSTEMS ANALYST;60000;90000;Year;Y;1;JACKSONVILLE;FL;46093;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09219-983569;CERTIFIED;10.01.2011;14.01.2011;H-1B;17.01.2011;17.01.2014;CALLAWAY GOLF COMPANY;2180 RUTHERFORD ROAD;CARLSBAD;CA;92008;13-1199.99;Business Operations Specialists, All Other;ANALYST, SENIOR SUPPLY CHAIN PROCESSES & SYSTEMS;90000;;Year;Y;1;CARLSBAD;CA;79914;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;339920
I-200-09219-274129;CERTIFIED;08.07.2011;14.07.2011;H-1B;14.09.2011;13.09.2014;NATIONAL SEMICONDUCTOR CORPORATION;2900 SEMICONDUCTOR DRIVE;SANTA CLARA;CA;95052;17-2071;Electrical Engineers;STAFF CIRCUIT DESIGN ENGINEER;102294;132920;Year;Y;1;FEDERAL WAY;WA;102294;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;334413
I-200-09222-382793;CERTIFIED;25.01.2011;31.01.2011;H-1B;16.02.2011;15.02.2014;EL CENTRO HISPANO, INC.;201 WEST MAIN STREET;DURHAM;NC;27701;27-3031.00;Public Relations Specialists;DEVELOPMENT DIRECTOR;33904;;Year;Y;1;DURHAM;NC;33904;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;813319
I-200-09222-428172;CERTIFIED;28.03.2011;01.04.2011;H-1B;28.03.2011;27.03.2014;SEMAFOR TECHNOLOGIES, LLC;SIX CONCOURSE PARKWAY, FIFTH FLOOR;ATLANTA;GA;30328;15-1051.00;Computer Systems Analysts;PROGRAMMER ANALYST;61000;91000;Year;Y;1;WATERTOWN;MA;60528;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09222-521415;DENIED;31.08.2011;07.09.2011;H-1B;05.09.2011;04.09.2014;THE MONTEVERDI RESIDENCE CLUB, LLC;1730 PNC CENTER;CINCINNATI;OH;45202;Nov 22;Sales Managers;DIRECTOR OF MARKETING AND BUSINESS DEVELOPMENT;65000;;Year;Y;1;CINCINNATI;OH;61589;Year;Other;OFLC ONLINE DATA CENTER;2011;;;;;;;;5311
I-200-09272-275458;CERTIFIED;28.07.2011;03.08.2011;H-1B;01.08.2011;31.07.2014;INPATIENT CONSULTANTS OF COLORADO, P.C.;4605 LANKERSHIM BOULEVARD;NORTH HOLLYWOOD;CA;91602;29-1069;Physicians and Surgeons, All Other;HOSPITALIST PHYSICIAN;150000;;Year;Y;1;PUEBLO;CO;68515;Year;OES;OES ONLINE WAGE LIBRARY;2011;;;;;;;;621111
I-200-09273-475079;CERTIFIED;04.04.2011;08.04.2011;H-1B;22.09.2011;22.09.2014;ALEC H JARET, DMD;25 NEEDHAM ST;NEWTON;MA;2461;29-1021.00;Dentists, General;DENTIST;40,7;56,45;Hour;Y;1;EAST WINDSOR;CT;38,05;Hour;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;621210
I-200-09273-833046;CERTIFIED;04.04.2011;08.04.2011;H-1B;22.09.2011;22.09.2014;ALEC H JARET, DMD;25 NEEDHAM ST.;NEWTON;MA;2461;29-1021.00;Dentists, General;DENTIST;49,36;61,19;Hour;Y;1;MILFORD;CT;49,36;Hour;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;621210
