CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_ADDRESS1;EMPLOYER_ADDRESS2;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAIC_CODE;TOTAL WORKERS;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_WAGE_SOURCE;PW_WAGE_SOURCE_YEAR;PW_WAGE_SOURCE_OTHER;WAGE_RATE_OF_PAY;WAGE_UNIT_OF_PAY;H-1B_DEPENDENT;WILLFUL VIOLATOR;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE;;;;
I-200-09244-289740;CERTIFIED;22.10.2014;28.10.2014;H-1B;04/23/2015;04/22/2018;VMWARE, INC.;3401 HILLVIEW AVE;;PALO ALTO;CA;94304;UNITED STATES OF AMERICA;;5128133194;;JACQUELYN MARONEY;AUSTIN;TX;MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1;Y;98557.00;Year;;Other;2014;RADFORD GLOBAL TECHNOLOGY SURVEY;122430.00 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304;;;;
I-200-09258-461335;DENIED;22.01.2015;29.01.2015;H-1B;01/22/2015;01/22/2016;LHB, INC.;21 WEST SUPERIOR STREET;SUITE 500;DULUTH;MN;55802;UNITED STATES OF AMERICA;;2182792244;;DEBRA SCHNEIDER;MINNEAPOLIS;MN;F;13-2011;ACCOUNTANTS AND AUDITORS;541330;1;Y;345000;Year;Level II;DBA;2015;FLC DATA BASE;20000 -;Year;N;N;2 WORK;WORK;ME;55401;;;;
I-200-09261-001558;DENIED;20.03.2015;31.03.2015;H-1B;08/20/2015;08/20/2018;INTERNATIONAL SOLUTIONS GROUP, INC.;1110 ELDEN STREET;SUITE 201;HERNDON;VA;20170;UNITED STATES OF AMERICA;;7037668800;201;;;;PROGRAMMER ANALYST;15-1021.00;COMPUTER PROGRAMMERS;541511;1;Y;66976.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;64688 -;Year;Y;N;MIDDLETOWN;NEW CASTLE;DE;19709;;;;
I-200-09274-925070;CERTIFIED;22.10.2014;28.10.2014;H-1B;11.10.2014;11.09.2017;VMWARE, INC.;3401 HILLVIEW AVE;;PALO ALTO;CA;94304;UNITED STATES OF AMERICA;;5128133194;;JACQUELYN MARONEY;AUSTIN;TX;SENIOR MEMBER OF TECHNICAL STAFF - QUALITY ENGINEERING;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;111742.00;Year;;Other;2014;RADFORD GLOBAL TECHNOLOGY SURVEY;140000.00 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304;;;;
I-200-09285-514415;CERTIFIED;24.10.2014;30.10.2014;H-1B;10/24/2014;10/23/2017;IT CATS LLC;388 WASHINGTON ROAD;SUITE A;SAYREVILLE;NJ;8872;UNITED STATES OF AMERICA;;7322382122;;;;;SENIOR BUSINESS ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;52.46;Hour;Level IV;OES;2014;OFLC ONLINE DATA CENTER;60.00 - 65.00;Hour;Y;N;NORTH WALES,;MONTGOMERY;PA;19454;;;;
I-200-09296-661220;CERTIFIED;29.10.2014;04.11.2014;H-1B;02.03.2015;02.02.2018;VMWARE, INC.;3401 HILLVIEW AVE;;PALO ALTO;CA;94304;UNITED STATES OF AMERICA;;5128133194;;JACQUELYN MARONEY;AUSTIN;TX;SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1;Y;113775.00;Year;;Other;2014;RADFORD GLOBAL TECHNOLOGY SURVEY;140000.00 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304;;;;
I-200-09302-785109;CERTIFIED-WITHDRAWN;02.02.2012;29.10.2014;H-1B;04/25/2012;04/25/2015;VF CORPORATION;105 CORPORATE CENTER BLVD;;GREENSBORO;NC;27408;UNITED STATES OF AMERICA;;3364246142;;Scott Decker;ATLANTA;GA;PROJECT MANAGER (DIGITAL/ECOMMERCE);Nov 21;COMPUTER AND INFORMATION SYSTEMS MANAGERS;541512;1;Y;110300.00;Year;;Other;2011;MERCER BENCHMARK DATABASE INFORMATION TECHNOLOGY SURVEY REPORT;125000 -;Year;N;N;CYPRESS;ORANGE;CA;90630;;;;
I-200-09313-334737;CERTIFIED;19.12.2014;29.12.2014;H-1B;06/16/2015;06/15/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;N/A;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;SYSTEMS ANALYSIS SENIOR;15-1121;COMPUTER SYSTEMS ANALYSTS;522294;1;Y;75200.00;Year;;Other;2014;HRA-NCA COMPENSATION SURVEY;75200 - 132500;Year;N;N;RESTON;FAIRFAX;VA;20190;;;;
I-200-09316-752823;WITHDRAWN;13.10.2014;13.10.2014;H-1B;10/13/2014;10.12.2017;LANDRY'S RESTAURANTS, INC.;1510 WEST LOOP SOUTH;;HOUSTON;TX;77027;UNITED STATES OF AMERICA;;7133868016;;LAURIE SNIDER;DALLAS;TX;GENERAL MANAGER;11-9051.00;FOOD SERVICE MANAGERS;722110;1;Y;89569.00;Year;;DBA;2012;;109360 - 164040;Year;N;N;HOUSTON;HARRIS;TX;77027;;;;
I-200-09317-262420;WITHDRAWN;13.10.2014;13.10.2014;H-1B;10/13/2014;10.12.2017;LANDRY'S RESTAURANTS, INC.;1510 WEST LOOP SOUTH;;HOUSTON;TX;77027;UNITED STATES OF AMERICA;;7133867198;;LAURIE SNIDER;DALLAS;TX;GENERAL MANAGER;11-9051.00;FOOD SERVICE MANAGERS;722110;1;Y;56722.00;Year;Level IV;OES;2012;OFLC ONLINE DATA CENTER;69175 -;Year;N;N;ALBUQUERQUE;BERNALILLO;NM;87109;;;;
I-200-09321-731590;CERTIFIED;18.12.2014;24.12.2014;H-1B;01.12.2015;01.11.2018;PARSONS SERVICES COMPANY;100 WEST WALNUT STREET;;PASADENA;CA;91124;UNITED STATES OF AMERICA;;6264406033;;JEFFREY KIKUTA;LOS ANGELES;CA;SENIOR IT SPECIALIST;15-1141;DATABASE ADMINISTRATORS;551114;1;Y;108472.00;Year;Level IV;OES;2014;OFLC ONLINE DATA CENTER;110000 - 145000;Year;N;N;PAASADENA;LOS ANGELES;CA;91124;;;;
I-200-09329-943146;CERTIFIED-WITHDRAWN;14.01.2015;27.07.2015;H-1B;05/31/2015;09/13/2017;DELPHI CORPORATION;5725 DELPHI DRIVE;;TROY;MI;48098;UNITED STATES OF AMERICA;;2488132000;;RYAN ADWERS;FARMINGTON HILLS;MI;ALGORITHM-STATE ESTIMATION DEVELOPMENT ENGINEER;17-2071;ELECTRICAL ENGINEERS;336399;1;Y;91936.00;Year;Level II;Other;2014;OFLC ONLINE DATA CENTER;91936 -;Year;N;N;AGOURA HILLS;LOS ANGELES;CA;91301;;;;
I-200-09334-392690;WITHDRAWN;13.10.2014;13.10.2014;H-1B;10/13/2014;10.12.2017;DAIRY INFORMATION SYSTEMS HOLDINGS LLC;3333 S. BANNOCK STREET;SUITE 600;ENGLEWOOD;CO;80110;UNITED STATES OF AMERICA;;8478671062;;LAURIE SNIDER;DALLAS;TX;APPLICATIONS PROGRAMMING MANAGER;15-1051.00;COMPUTER SYSTEMS ANALYSTS;511210;1;Y;94411.00;Year;Level IV;OES;2012;OFLC DATA CENTER ONLINE;107872 -;Year;N;N;ENGLEWOOD;ARAPAHOE;CO;80110;;;;
I-200-09338-814236;CERTIFIED-WITHDRAWN;21.02.2013;19.01.2015;H-1B;02/21/2013;09/21/2015;INTEGRATED RESOURCES, INC;4 ETHEL RD, SUITE 403B;;EDISON;NJ;8817;UNITED STATES OF AMERICA;;7325492030;;;;;OCCUPATIONAL THERAPISTS;29-1122;OCCUPATIONAL THERAPISTS;561320;1;Y;32.97;Hour;Level II;Other;2012;OFLC ONLINE DATACENTER;35.00 -;Hour;Y;N;VINELAND;CUMBERLAND;NJ;8362;;;;
I-200-09341-564186;CERTIFIED-WITHDRAWN;17.06.2013;26.01.2015;H-1B;06/19/2013;06/19/2016;XPERT TECHNOLOGIES, INC.;205 HOUSE AVENUE SUITE#103;;CAMP HILL;PA;17011;UNITED STATES OF AMERICA;;4174833911;;;;;QUALITY ASSURANCE ANALYST;15-1799;COMPUTER OCCUPATIONS, ALL OTHER*;541511;1;Y;58282.00;Year;Level I;OES;2012;OFLC ONLINE DATA CENTRE;60000 -;Year;Y;N;CAMP HILL;CUMBERLAND;PA;17011;;;;
I-200-09342-274341;CERTIFIED;13.02.2015;22.02.2015;H-1B;03.04.2015;03.03.2018;ISR INFO WAY, INC.;559 D'ONOFRIO DRIVE, SUITE 101 & 102;;MADISON;WI;53719;UNITED STATES OF AMERICA;;6088277884;;JOHN BOUDIA;SOUTHFIELD;MI;SR. SOFTWARE DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1;Y;84906.00;Year;Level III;Other;2014;OFLC ONLINE DATA CENTER;84906 - 105000;Year;Y;N;CHICAGO;COOK;IL;60601;;;;
I-200-09362-088372;CERTIFIED;19.12.2014;26.12.2014;H-1B;06/18/2015;06/17/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;N/A;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;CREDIT GUARANTEE ANALYTICS SENIOR;15-2031;OPERATIONS RESEARCH ANALYSTS;522294;1;Y;64085;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;64100 - 127000;Year;N;N;MCLEAN;FAIRFAX;VA;22102;;;;
I-200-09362-500914;CERTIFIED;30.12.2014;07.01.2015;H-1B;06/28/2015;06/27/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;N/A;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;SHARED INFORMATION SUPPORT SENIOR;15-1141;DATABASE ADMINISTRATORS;522294;1;Y;90800.00;Year;;Other;2014;HRA-NCA COMPENSATION SURVEY REPORT;90800 - 120300;Year;N;N;MCLEAN;FAIRFAX;VA;22102;;;;
I-200-09364-425868;CERTIFIED;16.03.2015;20.03.2015;H-1B;09/15/2015;09/15/2018;MAGIC CIRCLE FILMS INTERNATIONAL LLC;7 PULASKI STREET;;AUBURN;NY;13021;UNITED STATES OF AMERICA;;3152550370;;TIBBY BLUM;NEW YORK;NY;VIDEO EDITOR;27-4032;FILM AND VIDEO EDITORS;51219;1;Y;39333.00;Year;Level II;OES;2014;OFLC ONLINE DATA CENTER;50003.00 -;Year;N;N;AUBURN;CAYUGA;NY;13021;;;;
I-200-10006-413683;WITHDRAWN;10.03.2015;11.03.2015;H-1B;04/16/2015;04/15/2018;SAPHIRE SOLUTIONS INC;523 GREEN STREET, 2ND FLOOR;;ISELIN;NJ;8830;UNITED STATES OF AMERICA;;8008189078;104;;;;SYSTEMS ADMINISTRATOR;15-1142;NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS;541511;1;Y;68638;Year;Level II;OES;2015;;79560 -;Year;Y;N;BETHPAGE;NASSAU;NY;11714;;;;
I-200-10028-389232;CERTIFIED;29.01.2015;04.02.2015;H-1B;01/29/2015;09.10.2017;SWANKTEK INC;510 FRANKLIN AVENUE, SUITE 7 & 8;;NUTLEY;NJ;7110;UNITED STATES OF AMERICA;;9735428326;;JOHN BOUDIA;SOUTHFIELD;MI;BI APPLICATIONS CONSULTANT;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;66602;Year;Level I;Other;2014;OFLC ONLINE DATA CENTER;70000 -;Year;Y;N;SAN JOSE;SANTA CLARA;CA;95112;;;;
I-200-10028-460244;CERTIFIED;26.02.2015;04.03.2015;H-1B;08/27/2015;08/26/2018;SUNERA TECHNOLOGIES, INC;631 E. BIG BEAVER, SUITE 109;N/A;TROY;MI;48083;UNITED STATES OF AMERICA;N/A;2485240222;103;;;;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;5415;1;Y;61901.00;Year;Level II;OES;2014;OFLC ONLINE DATA CENTER;65000 -;Year;Y;N;TROY;OAKLAND;MI;48083;;;;
I-200-10033-402166;WITHDRAWN;13.10.2014;13.10.2014;H-1B;10/13/2014;10.12.2017;NATIONAL SEMICONDUCTOR CORPORATION;2900 SEMICONDUCTOR DRIVE;;SANTA CLARA;CA;95052;UNITED STATES OF AMERICA;;4087215000;;LAURIE SNIDER;DALLAS;TX;SENIOR APPLICATIONS ENGINEER;17-2071.00;ELECTRICAL ENGINEERS;334413;1;Y;75899.00;Year;Level II;OES;2012;OFLC DATA CENTER ONLINE;75899 - 110150;Year;N;N;LONGMONT;BOULDER;CO;80501;;;;
I-200-10034-822100;CERTIFIED;20.11.2014;26.11.2014;H-1B;11/20/2014;09/13/2016;AMENSYS INC;860 HEBRON PKWY. SUITE 604;;LEWISVILLE;TX;75057;UNITED STATES OF AMERICA;;9728019970;101;;;;COMPUTER PROGRAMMER;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;55744.00;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;60000 -;Year;Y;N;NASHVILLE;DAVIDSON;TN;37211;;;;
I-200-10035-077428;CERTIFIED-WITHDRAWN;15.05.2013;10.01.2015;H-1B;05/15/2013;05/14/2016;AKT, LLC.;10 AUSTIN AVENUE;SUITE 2B;ISELIN;NJ;8830;UNITED STATES OF AMERICA;;7327073112;;SHEPARD MICHELLE;WOBURN;MA;JAVA DEVELOPER;15-1131;COMPUTER PROGRAMMERS;541519;1;Y;51210.00;Year;Level I;Other;2012;FLC DATA CENTER ONLINE WAGE LIBRARY;60000 -;Year;Y;N;COLUMBUS;DELAWARE;OH;43240;;;;
I-200-10040-339674;CERTIFIED-WITHDRAWN;09.08.2013;17.04.2015;H-1B;09.01.2013;08/31/2016;EXLSERVICE.COM, INC.;280 PARK AVENUE;38TH FLOOR;NEW YORK;NY;10017;UNITED STATES OF AMERICA;;2122777100;;GRANT SOVERN;MADISON;WI;ASSISTANT VICE PRESIDENT - DECISION ANALYTICS;Nov 21;COMPUTER AND INFORMATION SYSTEMS MANAGERS;541611;1;Y;99715.00;Year;Level I;OES;2013;OFLC ONLINE DATA CENTER;121571 -;Year;N;N;JERSEY CITY;HUDSON;NJ;7302;;;;
I-200-10041-053406;WITHDRAWN;13.10.2014;13.10.2014;H-1B;10/13/2014;10.12.2017;H & H RESOURCES, INC.;15840 FM 529, SUITE 211;;HOUSTON;TX;77095;UNITED STATES OF AMERICA;;8322201205;;LAURIE SNIDER;DALLAS;TX;GRADUATE ENGINEER;17-2051.00;CIVIL ENGINEERS;541330;1;Y;52865.00;Year;;Other;2012;DIETRICH ENGINEERING SALARY SURVEY;54080 -;Year;N;N;SUGAR LAND;FORT BEND;TX;77478;;;;
I-200-10050-565007;DENIED;22.01.2015;29.01.2015;H-1B;01/25/2015;01/25/2016;LHB, INC.;21 WEST SUPERIOR STREET;SUITE 500;DULUTH;MN;55802;UNITED STATES OF AMERICA;;2182792244;;DEBRA SCHNEIDER;MINNEAPOLIS;MN;SITE OPERATIONS MANAGER;15-2041.00;STATISTICIANS;541330;1;Y;20000;Year;Level I;OES;2015;FLC DATA;20000 -;Year;N;N;2 BARK;LEAF;LA;55401;;;;
I-200-10053-213884;CERTIFIED;12.03.2015;18.03.2015;H-1B;09.09.2015;09.08.2018;LIANG LLC;510 S. UNIVERSITY AVE.;;CARBONDALE;IL;62901;UNITED STATES OF AMERICA;;6183033753;;NANCY VIZER;CHICAGO;IL;FINANCIAL ANALYST;13-2051;FINANCIAL ANALYSTS;523999;1;N;23.61;Hour;Level I;OES;2014;OFLC ONLINE WAGE LIBRARY;25 -;Hour;N;N;CARBONDALE;JACKSON;IL;62901;;;;
I-200-10068-389593;CERTIFIED;29.01.2015;04.02.2015;H-1B;02.09.2015;02.09.2018;BANK OF THE WEST;2527 CAMINO RAMON;;SAN RAMON;CA;94583;UNITED STATES OF AMERICA;;9258438696;;HARRY LEWIS;SAN FRANCISCO;CA;JAVA DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;522190;1;Y;84781.00;Year;Level II;OES;2014;OFLC ONLINE DATA CENTER;95000 -;Year;N;N;MONTEREY PARK;LOS ANGELES;CA;91755;;;;
I-200-15196-450280;CERTIFIED;17.07.2015;23.07.2015;H-1B;07/23/2015;07/22/2018;SPLUNK, INC;250 BRANNAN STREET;449 MAIN AVENUE;SAN FRANCISCO;CA;94107;UNITED STATES OF AMERICA;;4158525839;;MARY KENNEY;SAN FRANCISCO;CA;PRICING MANAGER;13-1111;MANAGEMENT ANALYSTS;518210;1;Y;114795.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;114795 - 154000;Year;N;N;SAN FRANCISCO;SAN FRANCISCO;CA;94107;;;;
I-200-15196-450282;CERTIFIED;15.07.2015;21.07.2015;H-1B;08.01.2015;07/31/2018;THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR. UNIVERSITY;584 CAPISTRANO WAY;BECHTEL INTERNATIONAL CENTER;STANFORD;CA;94305;UNITED STATES OF AMERICA;;6507257400;;JACQUELYN MARONEY;AUSTIN;TX;BASIC LIFE SCIENCE RESEARCH ASSOC;19-1029;BIOLOGICAL SCIENTISTS, ALL OTHER;611310;1;Y;53768.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;62000 -;Year;N;N;STANFORD;SANTA CLARA;CA;94305;;;;
I-200-15196-450863;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;SAT SOLUTIONS LLC;352 APPLEGARTH RD;SUITE: C;MONROE;NJ;8831;UNITED STATES OF AMERICA;;6092359867;;MICHAEL BERGMAN;ISELIN;NJ;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541614;1;Y;58947.00;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;60000 - 80000.00;Year;Y;N;WILMINGTON;NEW CASTLE;DE;19808;;;;
I-200-15196-450944;CERTIFIED;15.07.2015;21.07.2015;H-1B;08/15/2015;08/14/2018;XPECTIT MOBILE, INC;5005 W ROYAL LANE;SUITE #183B;IRVING;TX;75063;UNITED STATES OF AMERICA;N/A;9727982735;;JACQUELYN MARONEY;AUSTIN;TX;SOFTWARE DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;5415;1;Y;65042;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;66000 -;Year;N;N;IRVING;DALLAS;TX;75063;;;;
I-200-15196-452369;CERTIFIED;15.07.2015;21.07.2015;H-1B;08.03.2015;08.02.2018;GOOGLE INC.;1600 AMPHITHEATRE PARKWAY;N/A;MOUNTAIN VIEW;CA;94043;UNITED STATES OF AMERICA;N/A;6502145830;;MICHAEL BAILEY;DALLAS;TX;SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541512;1;Y;99716;Year;Level I;Other;2015;RADFORD GLOBAL TECHNOLOGY SURVEY;115000 -;Year;N;N;MOUNTAIN VIEW;SANTA CLARA;CA;94043;;;;
I-200-15196-453402;CERTIFIED;20.07.2015;24.07.2015;H-1B;09/30/2015;09/30/2018;SATURN ELECTRONICS CORPORATION;28450 NORTHLINE RD;;ROMULUS;MI;48174;UNITED STATES OF AMERICA;;7349418100;;SHAWN HOPE;CLAWSON;MI;CHEMIST;19-2031;CHEMISTS;334412;1;Y;44512.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;44512.00 -;Year;N;N;ROMULUS;WAYNE;MI;48174;;;;
I-200-15196-454241;CERTIFIED;17.07.2015;23.07.2015;H-1B;07/17/2015;07/16/2018;ELAN TECHNOLOGIES, INC;400 E. ROYAL LANE;SUITE 260;IRVING;TX;75039;UNITED STATES OF AMERICA;;9725019021;;GRACE KAN;FARMERS BRANCH;TX;SYSTEMS INTEGRATION ENGINEER;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;65312.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;70000 -;Year;Y;N;IRVING;DALLAS;TX;75039;;;;
